State,Indicator No.,Indicator,Unit,NFHS 6,NFHS 6 Small Sample,NFHS 5,NFHS 5 Small Sample,Delta (6-5)
Punjab,42,Children born at home who were taken to a health facility for a check-up within 24 hours of,,3.6,,1.3,,2.3
Punjab,43,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/ other health,,88.9,,84.7,,4.2
Punjab,44,Children age 12-23 months fully vaccinated based on information from either vaccination card,,77.7,,76.2,,1.5
Punjab,45,Children age 12-23 months fully vaccinated based on information from vaccination card,,79.9,,85.2,,-5.3
Punjab,46,Children age 12-23 months who have received any vaccine (%),%,97.9,,96.3,,1.6
Punjab,47,Children age 12-23 months who have received BCG (%),%,97.8,,95.3,,2.5
Punjab,48,Children age 12-23 months who have received 3 doses of polio vaccine 8 (%),%,80.4,,79.7,,0.7
Punjab,49,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),%,86.7,,88.5,,-1.8
Punjab,50,Children age 12-23 months who have received the first dose of measles-containing,,92.3,,88.1,,4.2
Punjab,51,Children age 24-35 months who have received a second dose of measles-containing,,60.7,,56.7,,4.0
Punjab,52,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),%,80.8,,85.8,,-5.0
Punjab,53,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),%,80.4,,65.9,,14.5
Punjab,54,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),%,78.1,,69.9,,8.2
Punjab,55,Children age 12-23 months who received most of their vaccinations in a public health,,94.6,,90.6,,4.0
Punjab,56,Children age 12-23 months who received most of their vaccinations in a private health,,4.6,,8.0,,-3.4
Punjab,57,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),%,5.5,,4.9,,0.6
Punjab,58,Prevalence of severe diarrhoea in the 2 weeks preceding the survey (%),%,0.2,,0.2,,0.0
Punjab,59,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the,,0.5,,2.5,,-2.0
Punjab,60,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health,,86.9,,57.3,,29.6
Punjab,61,Children under age 3 years breastfed within one hour of birth 9 (%),%,38.2,,53.1,,-14.9
Punjab,62,Children under age 6 months exclusively breastfed10 (%),%,51.0,,55.5,,-4.5
Punjab,63,Children under age 6 months currently breastfeeding 10 (%),%,92.8,,89.7,,3.1
Punjab,64,Children under age 6 months exclusively breastfed or breastfeeding and consuming plain,,81.9,,78.4,,3.5
Punjab,65,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),%,58.2,,46.2,,12.0
Punjab,66,"Breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",%,10.3,,10.2,,0.1
Punjab,67,"Non-breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",%,13.8,,15.4,,-1.6
Punjab,68,"Total children age 6-23 months receiving an adequate diet10, 11 (%)",%,11.1,,11.5,,-0.4
Punjab,69,Children under 5 years who are stunted (height-for-age)12 (%),%,20.4,,24.5,,-4.1
Punjab,70,Children under 5 years who are wasted (weight-for-height)12 (%),%,18.0,,10.6,,7.4
Punjab,71,Children under 5 years who are severely wasted (weight-for-height)13 (%),%,4.4,,3.6,,0.8
Punjab,72,Children under 5 years who are underweight (weight-for-age)12 (%),%,23.7,,16.9,,6.8
Punjab,73,Children under 5 years who are overweight (weight-for-height)14 (%),%,1.8,,4.1,,-2.3
Punjab,74,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m 2)15 (%),%,14.2,,12.7,,1.5
Punjab,75,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),%,13.3,,12.5,,0.8
Punjab,76,Women who are overweight or obese (BMI ≥25.0 kg/m 2)15 (%),%,44.7,,40.8,,3.9
Punjab,77,Men who are overweight or obese (BMI ≥25.0 kg/m2) (%),%,37.5,,32.3,,5.2
Punjab,78,Blood sugar level - high (141-160 mg/dl)16 (%),%,7.9,,5.8,,2.1
Punjab,79,Blood sugar level - very high (>160 mg/dl)16 (%),%,12.3,,8.0,,4.3
Punjab,80,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood,,21.3,,14.7,,6.6
Punjab,81,Blood sugar level - high (141-160 mg/dl)16 (%),%,9.1,,6.2,,2.9
Punjab,82,Blood sugar level - very high (>160 mg/dl)16 (%),%,11.9,,7.0,,4.9
Punjab,83,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood,,22.3,,14.1,,8.2
Punjab,84,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or,,10.8,,18.5,,-7.7
Punjab,85,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or,,6.5,,8.6,,-2.1
Punjab,86,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking,,24.5,,31.2,,-6.7
Punjab,87,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or,,13.6,,24.5,,-10.9
Punjab,88,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or,,4.6,,11.0,,-6.4
Punjab,89,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking,,26.3,,37.7,,-11.4
Punjab,90,Currently married women who usually participate in three household decisions 17 (%),%,93.2,,91.4,,1.8
Punjab,91,Women who worked in the last 12 months and were paid in cash (%),%,28.8,,22.3,,6.5
Punjab,92,Women having a bank or savings account that they themselves use (%),%,87.9,,81.6,,6.3
Punjab,93,Women having a mobile phone that they themselves use (%),%,72.6,,61.2,,11.4
Punjab,94,Women age 15-24 years who use hygienic methods of protection during their menstrual,,94.6,,93.3,,1.3
Punjab,95,Ever-married women age 18-49 years who have ever experienced spousal violence 19 (%),%,8.7,,11.6,,-2.9
Punjab,96,Ever-married women age 18-49 years who have experienced physical violence during any,,1.8,,1.6,,0.2
Punjab,97,Young women age 18-29 years who experienced sexual violence by age 18 (%),%,0.1,,0.2,,-0.1
Punjab,98,Women age 15 years and above who use any kind of tobacco (%),%,0.5,,0.4,,0.1
Punjab,99,Men age 15 years and above who use any kind of tobacco (%),%,13.9,,12.8,,1.1
Punjab,100,Women age 15 years and above who consume alcohol (%),%,0.3,,0.3,,0.0
Punjab,101,Men age 15 years and above who consume alcohol (%),%,22.9,,22.8,,0.1
Rajasthan,1,Population below age 5 years (%),%,8.9,,9.0,,-0.1
Rajasthan,2,Population below age 15 years (%),%,27.7,,28.3,,-0.6
Rajasthan,3,Population age 60 years and above (%),%,12.1,,10.5,,1.6
Rajasthan,4,Population living in households with electricity (%),%,98.4,,98.1,,0.3
Rajasthan,5,Population living in households with an improved drinking-water source1 (%),%,95.2,,96.5,,-1.3
Rajasthan,6,Households using iodized salt (%),%,95.2,,94.2,,1.0
Rajasthan,7,Households with any usual member covered under a health insurance/financing scheme (%),%,88.7,,87.8,,0.9
Rajasthan,8,Households with any usual member having a bank account/post office account (%),%,98.7,,97.6,,1.1
Rajasthan,9,Female population age 6 years and above who ever attended school (%),%,64.3,,63.5,,0.8
Rajasthan,10,Households with any usual female members owning a house and/or land (alone or jointly with,,13.9,,9.4,,4.5
Rajasthan,11,Children age 2-4 years who attended pre-school (%),%,38.2,,30.1,,8.1
Rajasthan,12,Women with 10 or more years of schooling (%),%,38.7,,33.4,,5.3
Rajasthan,13,Men with 10 or more years of schooling (%),%,55.7,,51.9,,3.8
Rajasthan,14,Women who have ever used the internet (%),%,66.3,,36.9,,29.4
Rajasthan,15,Men who have ever used the internet (%),%,80.5,,65.2,,15.3
Rajasthan,16,Women age 20-24 years married before age 18 years (%),%,24.6,,25.4,,-0.8
Rajasthan,17,Men age 25-29 years married before age 21 years (%),%,28.5,,28.2,,0.3
Rajasthan,18,Total fertility rate (children per woman),children per woman,2.1,,2.0,,0.1
Rajasthan,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),%,4.7,,3.7,,1.0
Rajasthan,20,Any method2 (%),%,74.4,,72.3,,2.1
Rajasthan,21,Any modern method2 (%),%,57.1,,62.1,,-5.0
Rajasthan,22,Any traditional method (%),%,17.3,,10.2,,7.1
Rajasthan,23,Female sterilization (%),%,37.2,,42.4,,-5.2
Rajasthan,24,Male sterilization (%),%,0.4,,0.2,,0.2
Rajasthan,25,Total unmet need3 (%),%,7.9,,7.6,,0.3
Rajasthan,26,Unmet need for spacing3 (%),%,4.4,,3.7,,0.7
Rajasthan,27,Unmet need for limiting3 (%),%,3.5,,3.9,,-0.4
Rajasthan,28,Mothers who had an antenatal check-up in the first trimester (%),%,78.2,,76.3,,1.9
Rajasthan,29,Mothers who had any antenatal care visits (%),%,97.3,,94.2,,3.1
Rajasthan,30,Mothers who had at least 4 antenatal care visits (%),%,61.0,,55.4,,5.6
Rajasthan,31,Mothers whose last birth was protected against neonatal tetanus 4 (%),%,94.1,,93.4,,0.7
Rajasthan,32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),%,41.0,,33.9,,7.1
Rajasthan,33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),%,23.5,,14.4,,9.1
Rajasthan,34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP),MCP,97.5,,98.1,,-0.6
Rajasthan,35,Institutional births (%),%,94.1,,94.9,,-0.8
Rajasthan,36,Institutional births in public facility (%),%,70.5,,77.0,,-6.5
Rajasthan,37,Births attended by skilled health personnel5(%),%,94.9,,95.6,,-0.7
Rajasthan,38,Births delivered by caesarean section (%),%,15.6,,10.4,,5.2
Rajasthan,39,Births in a private health facility that were delivered by caesarean section (%),%,35.0,,26.9,,8.1
Rajasthan,40,Births in a public health facility that were delivered by caesarean section (%),%,10.5,,7.2,,3.3
Rajasthan,41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health,,86.7,,85.3,,1.4
Rajasthan,42,Children born at home who were taken to a health facility for a check-up within 24 hours of,,4.0,,1.3,,2.7
Rajasthan,43,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/ other health,,89.6,,86.9,,2.7
Rajasthan,44,Children age 12-23 months fully vaccinated based on information from either vaccination card,,80.6,,80.5,,0.1
Rajasthan,45,Children age 12-23 months fully vaccinated based on information from vaccination card only7 (%),%,75.0,,85.3,,-10.3
Rajasthan,46,Children age 12-23 months who have received any vaccine (%),%,95.2,,97.4,,-2.2
Rajasthan,47,Children age 12-23 months who have received BCG (%),%,92.9,,95.6,,-2.7
Rajasthan,48,Children age 12-23 months who have received 3 doses of polio vaccine8 (%),%,84.3,,84.6,,-0.3
Rajasthan,49,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),%,87.2,,89.4,,-2.2
Rajasthan,50,Children age 12-23 months who have received the first dose of measles-containing,,90.3,,91.1,,-0.8
Rajasthan,51,Children age 24-35 months who have received a second dose of measles-containing,,57.6,,52.3,,5.3
Rajasthan,52,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),%,82.6,,75.0,,7.6
Rajasthan,53,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),%,83.4,,61.6,,21.8
Rajasthan,54,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),%,65.6,,64.5,,1.1
Rajasthan,55,Children age 12-23 months who received most of their vaccinations in a public health,,97.5,,98.0,,-0.5
Rajasthan,56,Children age 12-23 months who received most of their vaccinations in a private health,,1.8,,1.6,,0.2
Rajasthan,57,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),%,5.8,,6.1,,-0.3
Rajasthan,58,Prevalence of severe diarrhoea in the 2 weeks preceding the survey (%),%,0.5,,0.3,,0.2
Rajasthan,59,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the,,1.7,,2.9,,-1.2
Rajasthan,60,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health,,74.7,,71.1,,3.6
Rajasthan,61,Children under age 3 years breastfed within one hour of birth 9 (%),%,45.8,,40.7,,5.1
Rajasthan,62,Children under age 6 months exclusively breastfed 10 (%),%,54.3,,70.4,,-16.1
Rajasthan,63,Children under age 6 months currently breastfeeding10 (%),%,98.1,,97.4,,0.7
Rajasthan,64,Children under age 6 months exclusively breastfed or breastfeeding and consuming plain,,89.5,,87.0,,2.5
Rajasthan,65,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),%,51.6,,38.0,,13.6
Rajasthan,66,"Breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",%,8.9,,8.4,,0.5
Rajasthan,67,"Non-breastfeeding children age 6-23 months receiving an adequate diet 10, 11 (%)",%,8.0,,7.5,,0.5
Rajasthan,68,"Total children age 6-23 months receiving an adequate diet10, 11 (%)",%,8.7,,8.3,,0.4
Rajasthan,69,Children under 5 years who are stunted (height-for-age)12 (%),%,29.6,,31.8,,-2.2
Rajasthan,70,Children under 5 years who are wasted (weight-for-height)12 (%),%,19.8,,16.8,,3.0
Rajasthan,71,Children under 5 years who are severely wasted (weight-for-height)13 (%),%,6.4,,7.6,,-1.2
Rajasthan,72,Children under 5 years who are underweight (weight-for-age)12 (%),%,33.3,,27.6,,5.7
Rajasthan,73,Children under 5 years who are overweight (weight-for-height)14 (%),%,1.2,,3.3,,-2.1
Rajasthan,74,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m ) (%),%,27.3,,19.6,,7.7
Rajasthan,75,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m 2) (%),%,24.7,,14.0,,10.7
Rajasthan,76,Women who are overweight or obese (BMI ≥25.0 kg/m2)15 (%),%,20.3,,12.9,,7.4
Rajasthan,77,Men who are overweight or obese (BMI ≥25.0 kg/m2) (%),%,19.3,,15.0,,4.3
Rajasthan,78,Blood sugar level - high (141-160 mg/dl)16 (%),%,5.3,,3.9,,1.4
Rajasthan,79,Blood sugar level - very high (>160 mg/dl)16 (%),%,4.6,,2.8,,1.8
Rajasthan,80,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),%,10.4,,7.2,,3.2
Rajasthan,81,Blood sugar level - high (141-160 mg/dl)16 (%),%,6.5,,5.0,,1.5
Rajasthan,82,Blood sugar level - very high (>160 mg/dl)16 (%),%,5.5,,3.3,,2.2
Rajasthan,83,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),%,12.7,,8.9,,3.8
Rajasthan,84,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),%,7.7,,9.8,,-2.1
Rajasthan,85,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),%,3.5,,3.3,,0.2
Rajasthan,86,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),%,14.4,,15.3,,-0.9
Rajasthan,87,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),%,10.4,,12.7,,-2.3
Rajasthan,88,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),%,2.2,,3.6,,-1.4
Rajasthan,89,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),%,16.5,,17.9,,-1.4
Rajasthan,90,Currently married women who usually participate in three household decisions 17 (%),%,84.5,,87.7,,-3.2
Rajasthan,91,Women who worked in the last 12 months and were paid in cash (%),%,26.9,,17.4,,9.5
Rajasthan,92,Women having a bank or savings account that they themselves use (%),%,89.1,,79.6,,9.5
Rajasthan,93,Women having a mobile phone that they themselves use (%),%,61.1,,50.2,,10.9
Rajasthan,94,Women age 15-24 years who use hygienic methods of protection during their menstrual,,88.5,,84.3,,4.2
Rajasthan,95,Ever-married women age 18-49 years who have ever experienced spousal violence19 (%),%,20.8,,24.1,,-3.3
Rajasthan,96,Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),%,1.9,,2.1,,-0.2
Rajasthan,97,Young women age 18-29 years who experienced sexual violence by age 18 (%),%,0.4,,1.0,,-0.6
Rajasthan,98,Women age 15 years and above who use any kind of tobacco (%),%,6.9,,6.9,,0.0
Rajasthan,99,Men age 15 years and above who use any kind of tobacco (%),%,37.6,,41.9,,-4.3
Rajasthan,100,Women age 15 years and above who consume alcohol (%),%,0.3,,0.3,,0.0
Rajasthan,101,Men age 15 years and above who consume alcohol (%),%,10.7,,11.0,,-0.3
Sikkim,1,Population below age 5 years (%),%,4.1,,5.0,,-0.9
Sikkim,2,Population below age 15 years (%),%,15.8,,19.5,,-3.7
Sikkim,3,Population age 60 years and above (%),%,13.2,,10.0,,3.2
Sikkim,4,Population living in households with electricity (%),%,99.8,,99.3,,0.5
Sikkim,5,Population living in households with an improved drinking-water source1 (%),%,92.1,,92.8,,-0.7
Sikkim,6,Households using iodized salt (%),%,99.9,,98.2,,1.7
Sikkim,7,Households with any usual member covered under a health insurance/financing scheme (%),%,36.2,,28.0,,8.2
Sikkim,8,Households with any usual member having a bank account/post office account (%),%,97.3,,91.8,,5.5
Sikkim,9,Female population age 6 years and above who ever attended school (%),%,81.4,,83.7,,-2.3
Sikkim,10,Households with any usual female members owning a house and/or land (alone or jointly with,,9.4,,9.8,,-0.4
Sikkim,11,Children age 2-4 years who attended pre-school (%),%,79.4,,74.2,,5.2
Sikkim,12,Women with 10 or more years of schooling (%),%,58.4,,49.0,,9.4
Sikkim,13,Men with 10 or more years of schooling (%),%,52.4,,55.0,,-2.6
Sikkim,14,Women who have ever used the internet (%),%,90.3,,76.7,,13.6
Sikkim,15,Men who have ever used the internet (%),%,89.4,,64.6,,24.8
Sikkim,16,Women age 20-24 years married before age 18 years (%),%,9.1,,10.8,,-1.7
Sikkim,17,Men age 25-29 years married before age 21 years (%),%,6.2,,5.1,,1.1
Sikkim,18,Total fertility rate (children per woman),children per woman,1.0,,1.1,,-0.1
Sikkim,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),%,4.2,,3.1,,1.1
Sikkim,20,Any method2 (%),%,76.0,,69.1,,6.9
Sikkim,21,Any modern method2 (%),%,42.2,,54.9,,-12.7
Sikkim,22,Any traditional method (%),%,33.8,,14.2,,19.6
Sikkim,23,Female sterilization (%),%,11.7,,14.5,,-2.8
Sikkim,24,Male sterilization (%),%,1.8,,1.7,,0.1
Sikkim,25,Total unmet need3 (%),%,4.5,,11.9,,-7.4
Sikkim,26,Unmet need for spacing3 (%),%,2.2,,4.9,,-2.7
Sikkim,27,Unmet need for limiting3 (%),%,2.3,,7.0,,-4.7
Sikkim,28,Mothers who had an antenatal check-up in the first trimester (%),%,73.2,,63.7,,9.5
Sikkim,29,Mothers who had any antenatal care visits (%),%,99.0,,80.1,,18.9
Sikkim,30,Mothers who had at least 4 antenatal care visits (%),%,73.6,,58.4,,15.2
Sikkim,31,Mothers whose last birth was protected against neonatal tetanus 4 (%),%,98.9,,92.0,,6.9
Sikkim,32,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),%,89.3,,54.7,,34.6
Sikkim,33,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),%,73.4,,31.5,,41.9
Sikkim,34,Registered pregnancies for which the mother received a Mother and Child Protection (MCP),MCP,99.9,,94.6,,5.3
Sikkim,35,Institutional births (%),%,97.7,,94.7,,3.0
Sikkim,36,Institutional births in public facility (%),%,71.7,,78.6,,-6.9
Sikkim,37,Births attended by skilled health personnel5 (%),%,97.9,,96.5,,1.4
Sikkim,38,Births delivered by caesarean section (%),%,51.1,,32.8,,18.3
Sikkim,39,Births in a private health facility that were delivered by caesarean section (%),%,67.8,,55.4,,12.4
Sikkim,40,Births in a public health facility that were delivered by caesarean section (%),%,46.7,,30.4,,16.3
Sikkim,41,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health,,85.1,,69.3,,15.8
Sikkim,42,Children born at home who were taken to a health facility for a check-up within 24 hours of,,,Y,,Y,
Sikkim,43,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/ other health,,87.1,,66.2,,20.9
Sikkim,44,Children age 12-23 months fully vaccinated based on information from either vaccination card,,92.9,,82.5,,10.4
Sikkim,45,Children age 12-23 months fully vaccinated based on information from vaccination card only7 (%),%,95.1,,87.6,,7.5
Sikkim,46,Children age 12-23 months who have received any vaccine (%),%,96.2,,96.9,,-0.7
Sikkim,47,Children age 12-23 months who have received BCG (%),%,96.2,,96.6,,-0.4
Sikkim,48,Children age 12-23 months who have received 3 doses of polio vaccine8 (%),%,92.9,,89.0,,3.9
Sikkim,49,Children age 12-23 months who have received 3 doses of pentavalent vaccine (%),%,94.5,,93.3,,1.2
Sikkim,50,Children age 12-23 months who have received the first dose of measles-containing,,94.5,,90.5,,4.0
Sikkim,51,Children age 24-35 months who have received a second dose of measles-containing,,85.6,,35.7,,49.9
Sikkim,52,Children age 12-23 months who have received birth dose of hepatitis B vaccine (%),%,94.4,,87.6,,6.8
Sikkim,53,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),%,94.1,,0.0,,94.1
Sikkim,54,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),%,86.3,,87.5,,-1.2
Sikkim,55,Children age 12-23 months who received most of their vaccinations in a public health,,100.0,,100.0,,0.0
Sikkim,56,Children age 12-23 months who received most of their vaccinations in a private health,,0.0,,0.0,,0.0
Sikkim,57,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),%,2.5,,5.5,,-3.0
Sikkim,58,Prevalence of severe diarrhoea in the 2 weeks preceding the survey (%),%,0.4,,2.1,,-1.7
Sikkim,59,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the,,0.2,,0.7,,-0.5
Sikkim,60,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health,,54.0,,59.5,,-5.5
Sikkim,61,Children under age 3 years breastfed within one hour of birth 9 (%),%,68.0,,33.0,,35.0
Sikkim,62,Children under age 6 months exclusively breastfed 10 (%),%,49.6,,28.3,,21.3
Sikkim,63,Children under age 6 months currently breastfeeding 10 (%),%,94.5,,91.3,,3.2
Sikkim,64,Children under age 6 months exclusively breastfed or breastfeeding and consuming plain,,79.7,,63.3,,16.4
Sikkim,65,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),%,,Y,57.4,Y,
Sikkim,66,"Breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",%,22.1,,21.9,,0.2
Sikkim,67,"Non-breastfeeding children age 6-23 months receiving an adequate diet 10, 11 (%)",%,,Y,35.0,Y,
Sikkim,68,"Total children age 6-23 months receiving an adequate diet10, 11 (%)",%,22.2,,23.8,,-1.6
Sikkim,69,Children under 5 years who are stunted (height-for-age)12 (%),%,20.1,,22.3,,-2.2
Sikkim,70,Children under 5 years who are wasted (weight-for-height)12 (%),%,9.4,,13.6,,-4.2
Sikkim,71,Children under 5 years who are severely wasted (weight-for-height)13 (%),%,3.5,,6.6,,-3.1
Sikkim,72,Children under 5 years who are underweight (weight-for-age)12 (%),%,11.2,,13.1,,-1.9
Sikkim,73,Children under 5 years who are overweight (weight-for-height)14 (%),%,6.6,,9.6,,-3.0
Sikkim,74,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m 2)15 (%),%,5.1,,5.8,,-0.7
Sikkim,75,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m 2) (%),%,7.3,,4.9,,2.4
Sikkim,76,Women who are overweight or obese (BMI ≥25.0 kg/m2)15 (%),%,47.5,,34.8,,12.7
Sikkim,77,Men who are overweight or obese (BMI ≥25.0 kg/m2) (%),%,42.6,,36.3,,6.3
Sikkim,78,Blood sugar level - high (141-160 mg/dl)16 (%),%,7.0,,6.2,,0.8
Sikkim,79,Blood sugar level - very high (>160 mg/dl)16 (%),%,6.7,,4.7,,2.0
Sikkim,80,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood,,15.1,,12.2,,2.9
Sikkim,81,Blood sugar level - high (141-160 mg/dl)16 (%),%,7.9,,7.5,,0.4
Sikkim,82,Blood sugar level - very high (>160 mg/dl)16 (%),%,6.1,,7.0,,-0.9
Sikkim,83,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood,,15.6,,15.7,,-0.1
Sikkim,84,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or,,18.7,,18.5,,0.2
Sikkim,85,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or,,8.5,,11.8,,-3.3
Sikkim,86,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking,,32.0,,34.5,,-2.5
Sikkim,87,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or,,22.5,,25.0,,-2.5
Sikkim,88,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or,,4.9,,13.9,,-9.0
Sikkim,89,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking,,36.6,,41.6,,-5.0
Sikkim,90,Currently married women who usually participate in three household decisions 17 (%),%,98.6,,89.7,,8.9
Sikkim,91,Women who worked in the last 12 months and were paid in cash (%),%,30.7,,32.7,,-2.0
Sikkim,92,Women having a bank or savings account that they themselves use (%),%,91.4,,76.4,,15.0
Sikkim,93,Women having a mobile phone that they themselves use (%),%,91.6,,88.6,,3.0
Sikkim,94,Women age 15-24 years who use hygienic methods of protection during their menstrual,,99.1,,86.3,,12.8
Sikkim,95,Ever-married women age 18-49 years who have ever experienced spousal violence19 (%),%,4.6,,12.4,,-7.8
Sikkim,96,Ever-married women age 18-49 years who have experienced physical violence during any,,0.5,,1.9,,-1.4
Sikkim,97,Young women age 18-29 years who experienced sexual violence by age 18 (%),%,0.0,,0.1,,-0.1
Sikkim,98,Women age 15 years and above who use any kind of tobacco (%),%,13.1,,11.6,,1.5
Sikkim,99,Men age 15 years and above who use any kind of tobacco (%),%,39.3,,41.5,,-2.2
Sikkim,100,Women age 15 years and above who consume alcohol (%),%,19.9,,16.2,,3.7
Sikkim,101,Men age 15 years and above who consume alcohol (%),%,42.2,,39.9,,2.3
Tamil Nadu,1,Population below age 5 years (%),%,6.2,,6.7,,-0.5
Tamil Nadu,2,Population below age 15 years (%),%,20.2,,21.0,,-0.8
Tamil Nadu,3,Population age 60 years and above (%),%,16.3,,14.9,,1.4
Tamil Nadu,4,Population living in households with electricity (%),%,99.3,,99.3,,0.0
Tamil Nadu,5,Population living in households with an improved drinking-water source1 (%),%,98.5,,98.6,,-0.1
Tamil Nadu,6,Households using iodized salt (%),%,92.8,,92.0,,0.8
Tamil Nadu,7,Households with any usual member covered under a health insurance/financing scheme (%),%,61.1,,66.5,,-5.4
Tamil Nadu,8,Households with any usual member having a bank account/post office account (%),%,97.3,,96.6,,0.7
Tamil Nadu,9,Female population age 6 years and above who ever attended school (%),%,80.4,,80.4,,0.0
Tamil Nadu,10,Households with any usual female members owning a house and/or land (alone or jointly with,,17.2,,17.2,,0.0
Tamil Nadu,11,Children age 2-4 years who attended pre-school (%),%,65.3,,46.1,,19.2
Tamil Nadu,12,Women with 10 or more years of schooling (%),%,64.2,,56.6,,7.6
Tamil Nadu,13,Men with 10 or more years of schooling (%),%,69.2,,59.1,,10.1
Tamil Nadu,14,Women who have ever used the internet (%),%,59.5,,46.9,,12.6
Tamil Nadu,15,Men who have ever used the internet (%),%,81.8,,70.2,,11.6
Tamil Nadu,16,Women age 20-24 years married before age 18 years (%),%,10.5,,12.8,,-2.3
Tamil Nadu,17,Men age 25-29 years married before age 21 years (%),%,3.7,,4.5,,-0.8
Tamil Nadu,18,Total fertility rate (children per woman),children per woman,1.7,,1.8,,-0.1
Tamil Nadu,19,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),%,4.1,,6.3,,-2.2
Tamil Nadu,20,Any method2 (%),%,68.5,,68.6,,-0.1
Tamil Nadu,21,Any modern method2 (%),%,65.1,,65.5,,-0.4
