rank,district,state,present_risk,future_risk_ssp585_2050,risk_escalation,capacity_gap,present_ac,priority_tier,present_dominant_hazard,people_at_risk_present,people_at_risk_2050,gap_explanation
304,Alwar,Rajasthan,4.45,1.47,-2.98,0.3,0.794,moderate,wet-bulb,2652856,876337,Risk declining from 4.5 to 1.5 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
305,Jajapur,Odisha,5.09,1.26,-3.83,0.3,0.76,moderate,flood,1587162,392893,Risk declining from 5.1 to 1.3 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
306,Firozabad,Uttar Pradesh,4.81,1.42,-3.39,0.3,0.788,moderate,wet-bulb,1886791,557015,Risk declining from 4.8 to 1.4 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
307,Tinsukia,Assam,6.43,1.47,-4.96,0.3,0.794,moderate,flood,1188324,271670,Risk declining from 6.4 to 1.5 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
308,Sonitpur,Assam,5.63,1.45,-4.18,0.3,0.796,moderate,flood,1158669,298414,Risk declining from 5.6 to 1.4 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
309,Mahamaya Nagar,Uttar Pradesh,4.84,1.4,-3.45,0.3,0.788,moderate,wet-bulb,1424788,412129,Risk declining from 4.8 to 1.4 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
310,Datia,Madhya Pradesh,4.39,1.41,-2.99,0.3,0.788,moderate,wet-bulb,523072,168002,Risk declining from 4.4 to 1.4 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
311,Jaisalmer,Rajasthan,6.33,1.55,-4.78,0.29,0.811,moderate,drought,991111,242689,Risk declining from 6.3 to 1.6 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
312,Mathura,Uttar Pradesh,4.8,1.32,-3.48,0.29,0.782,moderate,wet-bulb,2155506,592764,Risk declining from 4.8 to 1.3 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
313,Hingoli,Maharashtra,3.71,1.78,-1.93,0.29,0.839,moderate,wet-bulb,694412,333168,Risk declining from 3.7 to 1.8 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
314,Belgaum,Karnataka,3.18,1.86,-1.32,0.29,0.845,moderate,wet-bulb,2401338,1404556,Risk declining from 3.2 to 1.9 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
315,Kabeerdham,Chhattisgarh,4.25,1.78,-2.46,0.29,0.839,moderate,wet-bulb,690577,289230,Risk declining from 4.2 to 1.8 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
316,Murshidabad,West Bengal,4.59,1.37,-3.21,0.29,0.788,moderate,wet-bulb,4942733,1475282,Risk declining from 4.6 to 1.4 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
317,Amethi,Uttar Pradesh,4.81,1.24,-3.57,0.29,0.766,moderate,wet-bulb,1884819,485899,Risk declining from 4.8 to 1.2 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
318,Surendranagar,Gujarat,4.07,1.57,-2.5,0.29,0.816,moderate,wet-bulb,980967,378407,Risk declining from 4.1 to 1.6 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
319,Baksa,Assam,6.74,1.49,-5.25,0.29,0.805,moderate,flood,810327,179137,Risk declining from 6.7 to 1.5 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
320,Mahoba,Uttar Pradesh,4.44,1.37,-3.07,0.29,0.789,moderate,wet-bulb,594488,183434,Risk declining from 4.4 to 1.4 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
321,Sangareddy,Telangana,3.71,1.73,-1.99,0.29,0.833,moderate,wet-bulb,1295735,604211,Risk declining from 3.7 to 1.7 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
322,Yavatmal,Maharashtra,3.77,1.74,-2.03,0.29,0.836,moderate,wet-bulb,1543922,712579,Risk declining from 3.8 to 1.7 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
323,Pilibhit,Uttar Pradesh,6.44,1.25,-5.2,0.29,0.768,moderate,flood,2183008,423720,Risk declining from 6.4 to 1.2 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
324,Mainpuri,Uttar Pradesh,4.8,1.34,-3.46,0.29,0.781,moderate,wet-bulb,1381636,385707,Risk declining from 4.8 to 1.3 by 2050 (SSP5-8.5). Capacity gap 0.3 — high incoming stress meets low coping.
325,Majuli,Assam,6.25,1.73,-4.52,0.29,0.834,moderate,flood,358548,99246,Risk declining from 6.2 to 1.7 by 2050 (SSP5-8.5). Capacity gap 0.3 — moderate stress with adequate coping.
